[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2008, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3931695930.39377,08/01/2024,5:45 pm
BYAPP,VSM,2.0,1.0
INFO,VersaLab VSM Option Release 1.4.4 Build 11,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC480,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,285,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,279,PREAMP_SERIAL_NUMBER
INFO,835,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3931698677.6735,299.914428710937,8118.88720703125,0.00120686498128866,8.65852419875775E-7,1,1.99850670813958,40.0298881530762,1.99529820186279,15.1699995622039,0.0138998992970976,0.00234159623154,0.25,-9.30561574742461E-6,0.00120683379267379,-8.5225402965853E-6,299.912353515625,299.912353515625,8098.88427734375,8138.89013671875,47.8833447166012,17.2630905747442,,0,0,0,80,299.91650390625,1,6,1,1.91192626953125,66.4711685180664,,,,,,,,,,,,,,,,
,3931698679.6965,299.916000366211,8159.02319335938,0.00120664875273034,9.79543051974203E-7,1,1.99850670813958,40.0298881530762,1.99526255694919,15.1699995622039,0.0138980805880035,0.00233596515934182,0.25,-9.75353606839171E-6,0.00120661781717842,-8.97059407254801E-6,299.91650390625,299.91650390625,8138.89013671875,8179.15625,48.0584295049089,17.2656795764546,,0,0,0,80,299.915496826172,1,6,1,1.92474365234375,66.4711685180664,,,,,,,,,,,,,,,,
,3931698681.696,299.914855957031,8199.478515625,0.00120553633459263,8.84793133309351E-7,1,1.99850670813958,40.0298881530762,1.99521394030956,15.1699995622039,0.0138854616526924,0.00233080615492009,0.25,-1.00010873480887E-5,0.0012055056264674,-9.2188584604368E-6,299.915496826172,299.915496826172,8179.15625,8219.80078125,48.0529581052743,17.2646132521011,,0,0,0,80,299.914215087891,1,6,1,1.91192626953125,66.4711685180664,,,,,,,,,,,,,,,,
,3931698683.6795,299.915069580078,8239.8818359375,0.00120451815680382,9.12923281885295E-7,1,1.99850670813958,40.0298881530762,1.99522712583337,15.1699995622039,0.013874922077254,0.00232262056106954,0.25,-1.05344792182555E-5,0.00120448782026797,-9.75289739515873E-6,299.914215087891,299.914215087891,8219.80078125,8259.962890625,47.7598474105628,17.2654509204897,,0,0,0,80,299.915924072266,1,6,1,1.92611694335938,66.4711685180664,,,,,,,,,,,,,,,,
,3931698685.687,299.915283203125,8279.890625,0.00120269451991377,8.13826936668576E-7,1,1.99850670813958,40.0298881530762,1.99521567674103,15.1699995622039,0.0138518055706703,0.00233061613174471,0.25,-9.51647236087849E-6,0.00120266357358981,-8.73610787339139E-6,299.915924072266,299.915924072266,8259.962890625,8299.818359375,48.1256495575628,17.2663077119294,,0,0,0,80,299.914642333984,1,6,1,1.92398071289062,65.9824066162109,,,,,,,,,,,,,,,,
,3931698687.6815,299.915573120117,8318.6103515625,0.00120170437851565,7.81463988217003E-7,1,1.99850670813958,40.0298881530762,1.99521912492564,15.1699995622039,0.0138380390791606,0.00234222589878624,0.25,-8.33271127177702E-6,0.00120167268703804,-7.55302877485896E-6,299.914642333984,299.914642333984,8299.818359375,8337.40234375,48.238204064332,17.266257217989,,0,0,0,80,299.91650390625,1,6,1,1.91604614257813,66.4711685180664,,,,,,,,,,,,,,,,
,3931698689.676,299.915634155273,8357.45751953125,0.00120231017231556,8.15467113552221E-7,1,1.99850670813958,40.0298881530762,1.99518855181859,15.1699995622039,0.0138468048965959,0.00233206253715806,0.25,-9.32024014819448E-6,0.00120227910115855,-8.54013684333427E-6,299.91650390625,299.91650390625,8337.40234375,8377.5126953125,47.9005405440243,17.265612379028,,0,0,0,80,299.914764404297,1,6,1,1.912841796875,66.4711685180664,,,,,,,,,,,,,,,,
,3931698691.6775,299.915054321289,8397.84423828125,0.00120313835814481,8.03322264811843E-7,1,1.99850670813958,40.0298881530762,1.99522416228802,15.1699995622039,0.0138574988494349,0.00232851300818669,0.25,-9.77845312344872E-6,0.00120310757517291,-8.99779936847891E-6,299.914764404297,299.914764404297,8377.5126953125,8418.17578125,47.8802182025243,17.2641043970632,,0,0,0,80,299.915344238281,1,6,1,1.9122314453125,66.4711685180664,,,,,,,,,,,,,,,,
,3931698693.6645,299.914779663086,8437.12646484375,0.00120219312512588,8.42515051356207E-7,1,1.99850670813958,40.0298881530762,1.99518604892186,15.1699995622039,0.0138450086661332,0.00233428004693943,0.25,-9.1065401736959E-6,0.0012021619434748,-8.32652188556374E-6,299.915344238281,299.915344238281,8418.17578125,8456.0771484375,48.055302990832,17.2657386798369,,0,0,0,80,299.914215087891,1,6,1,1.9244384765625,66.4711685180664,,,,,,,,,,,,,,,,
,3931698695.651,299.914428710937,8476.30712890625,0.00120027041783233,7.87770660033063E-7,1,1.99850670813958,40.0298881530762,1.99523664143278,15.1699995622039,0.0138240291933185,0.00232593065466626,0.25,-9.49829517807017E-6,0.00120023955967131,-8.71951329925252E-6,299.914215087891,299.914215087891,8456.0771484375,8496.537109375,47.8919426303128,17.2649806294578,,0,0,0,80,299.914642333984,1,6,1,1.92428588867187,66.4711685180664,,,,,,,,,,,,,,,,
,3931698697.666,299.915283203125,8516.84716796875,0.00119836175784253,6.9362893228574E-7,1,1.99850670813958,40.0298881530762,1.99518055988316,15.1699995622039,0.0138011882526786,0.00232490577626573,0.25,-9.2452130979996E-6,0.00119833077068253,-8.46768194900294E-6,299.914642333984,299.914642333984,8496.537109375,8537.1572265625,47.9419668555435,17.2644702318622,,0,0,0,80,299.915924072266,1,6,1,1.92306518554687,66.4711685180664,,,,,,,,,,,,,,,,
